the_geom,OBJECTID,Sensor Status (1=Active 0=Inactive),Wind Direction Text,Precipitation Type,Precipitation Intensity,RWIS RPU ID,PLSS Township,PLSS Section,PLSS Range,RWIS Site Number,RWIS Name,NWS ID,Latitude (LL84),Longitude (LL84),Altitude,County Name,Route Name,Mile Post,Garage Name,County Number,Data Last Pulled from RWIS Sensor (UTC),REST Service Data Last Update (UTC),Cost Center,DOT District,Air Temperature (F),Relative Humidity (%),Dew Point (F),Visibility (Miles),Average Windspeed (MPH),Max Windspeed (MPH),Average Windspeed (Knots),Max Windspeed (Knots),Wind Direction Degrees,Precipitation Rate (Inch Per Hour),Precipitation Accumulation (Inches),Sensor ID,UTC Offset,RAMS Route Measure,RAMS Route ID
POINT (-94.1835 42.446333),6,1,NE,None,None,21,T88N,12,R29W,512021,Fort Dodge,RFDI4,42.446333,-94.1835,938,WEBSTER,US 169,154,Fort Dodge,94,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551611,1,72.3,67,60.8,9999,0,0,0,0,30,0,0,,-05:00,154.6,S001920169N
POINT (-90.5131 41.5171),33,1,N,None,None,61,T78N,33,R04E,512061,Quad Cities,RQCI4,41.5171,-90.5131,580,SCOTT,I-74,0,Davenport,82,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556812,6,73,57,57,9999,9,10,7.8,8.7,360,0,0,,-05:00,0.2,S001710074E
POINT (-92.5371 42.8332),57,1,N,None,None,58,T93N,30,R14W,512058,Plainfield,RPFI4,42.8332,-92.5371,965,BREMER,US 218,211,Waverly,9,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552809,2,72.5,50,52.9,9999,6,9999,5.2,9999,20,0,0,,-05:00,62.1,S001920218S
POINT (-92.2983 41.9649),30,0,NA,NA,NA,57,T83N,25,R13W,512057,Tama,RTMI4,41.9649,-92.2983,822,TAMA,IA 21,62,Tama,86,,08/30/2023 01:21:06 AM +0000,551605,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,60.8,S001930021N
POINT (-94.67 42.4501),63,1,E,None,None,63,T88N,10,R33W,512063,Rockwell City,RRWI4,42.4501,-94.67,1286,CALHOUN,US 20,97,Rockwell City,13,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553606,3,75,67,63.3,9999,4,4,3.5,3.5,70,0,0,,-05:00,210.4,S001920020W
POINT (-94.0112 41.5415),3,1,N,None,None,18,T78N,19,R27W,512018,De Soto,RDEI4,41.5415,-94.0112,956,DALLAS,I-80,110,De Soto,25,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554608,4,73.8,60,59.5,9999,0,2,0,1.7,340,0,0,,-05:00,195.9,S001910080W
POINT (-93.0027 40.739667),18,1,N,None,None,11,T69N,26,R19W,512011,Centerville,RCNI4,40.739667,-93.0027,968,APPANOOSE,IA 2,164,Centerville,4,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555604,5,72.9,50,53.6,9999,1,8,0.9,7,10,0,0,,-05:00,160,S001930002E
POINT (-95.8031 41.2605),35,1,SE,None,None,65,T75N,33,R43W,512065,Council Bluffs DMS,RCCI4,41.2605,-95.8031,1036,POTTAWATTAMIE,I-80,7,Council Bluffs North,78,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554803,4,74.5,67,63,9999,1,4,0.9,3.5,150,0,0,,-05:00,6.7,S001910080E
POINT (-96.0787 42.4822),17,1,SE,None,None,41,T89N,31,R44W,512041,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,18,Sioux City Leeds,97,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553603,3,75.4,75,67.3,9999,0,1,0,0.9,140,0,0,,-05:00,283.2,S001920020W
POINT (-91.5555 40.895667),11,1,N,None,None,32,T70N,4,R06W,512032,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,37,Mount Pleasant,44,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555844,5,77.9,46,55.6,9999,4,8,3.5,7,0,0,0,,-05:00,38.2,S001920218N
POINT (-94.7808 40.6773),29,1,N,None,None,55,T68N,23,R34W,512055,Bedford,RBFI4,40.6773,-94.7808,1100,TAYLOR,IA 2,66,Clarinda,87,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554605,4,69.4,83,63,9999,0,0,0,0,340,0,0,,-05:00,62.7,S001930002E
POINT (-94.3783 42.051833),7,1,N,None,None,25,T84N,30,R30W,512025,Jefferson,RJFI4,42.051833,-94.3783,1016,GREENE,IA 4,25,Jefferson,37,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551613,1,71.8,69,61.5,6.19,0,3,0,2.6,10,0,0,,-05:00,25.2,S001930004N
POINT (-90.5705 41.826167),4,1,N,Rain,Light,19,T81N,14,R03E,512019,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 30,311,De Witt,23,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556804,6,72.5,61,58.3,0.35,7,9,6.1,7.8,0,0,0,,-05:00,22,S001920030W
POINT (-93.3498 43.392167),43,1,NW,None,None,49,T99N,17,R21W,512049,Worth County/Hanlontown,RHAI4,43.392167,-93.3498,1093,WORTH,I-35,211,Hanlontown,98,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552698,2,68.9,66,57,9999,0,9999,0,9999,310,9999,9999,,-05:00,7.4,S001910035S
POINT (-90.731 42.490333),5,1,N,None,None,20,T89N,82,R02E,512020,Dubuque,RDBI4,42.490333,-90.731,819,DUBUQUE,US 20,316,Dubuque,31,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556806,6,75,55,57.9,9999,4,6,3.5,5.2,0,0,0,,-05:00,296.3,S001920020E
POINT (-94.7973 43.3993),34,1,SW,None,None,64,T99N,13,R34W,512064,Estherville,RETI4,43.3993,-94.7973,1283,EMMETT,IA 9,91,Swea City,32,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552656,2,70.2,94,68.4,9999,1,2,0.9,1.7,220,0,0,,-05:00,90.5,S001930009E
POINT (-93.8417 40.738667),60,1,N,None,None,26,T69N,34,R26W,512026,Leon,RLEI4,40.738667,-93.8417,1145,DECATUR,IA 2,119,Leon,27,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555627,5,74.1,56,57.7,0.28,5,7,4.3,6.1,10,0,0,,-05:00,115.3,S001930002E
POINT (-94.9838 40.98),56,1,N,None,None,38,T71N,3,R36W,512038,Red Oak,RROI4,40.98,-94.9838,953,MONTGOMERY,US 34,49,Red Oak,69,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554615,4,74.3,52,55.6,9999,0,0,0,0,20,0,0,,-05:00,219.9,S001920034W
POINT (-91.6447 41.6938),73,1,E,None,None,75,,,,512075,Tiffin,,41.6938,-91.6447,822,JOHNSON,I 80 E,239,Coralville,52,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556607,6,77.2,46,54.9,9999,5,5,4.3,4.3,80,0,0,,-05:00,238.38435518,S001910080E
POINT (-96.2295 42.1713),12,1,W,None,None,34,T85N,17,R46W,512034,Sloan,RSOI4,42.1713,-96.2295,995,MONONA,I-29,124,Sloan,67,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553607,3,76.8,59,61.5,9999,3,5,2.6,4.3,290,0,0,,-05:00,123.6,S001910029N
POINT (-94.308 41.049833),19,1,NW,None,None,13,T72N,9,R30W,512013,Creston,RCEI4,41.049833,-94.308,1274,UNION,US 34,87,Creston,88,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554607,4,71.1,70,60.8,9999,0,0,0,0,300,0,0,,-05:00,86.7,S001920034E
POINT (-91.6745 41.978),50,1,N,NA,NA,9,T83N,21,R07W,512009,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,20,Cedar Rapids,57,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556608,6,78.1,47,56.3,9999,7,11,6.1,9.6,10,0,9999,,-05:00,20,S001910380N
POINT (-92.6436 41.1465),68,1,N,None,None,56,T73N,12,R16W,512056,Eddyville,RDYI4,41.1465,-92.6436,799,MONROE,IA 137,13,Ottumwa,68,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555690,5,75,54,57.7,0.04,0,2,0,1.7,10,0,0.1,,-05:00,13.4,S001930137N
POINT (-91.5988 41.6575),40,1,N,None,None,23,T79N,7,R06W,512023,Iowa City US 218,RIAI4,41.6575,-91.5988,833,JOHNSON,US 218,94,Coralville,52,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556607,6,77.5,55,60.3,9999,8,13,7,11.3,0,0,0,,-05:00,178.7,S001920218S
POINT (-92.28 41.696),69,1,N,None,None,72,T80N,32,R12W,512072,Victor,VCTI4,41.696,-92.28,865,IOWA,I-80,205,Williamsburg,48,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556606,6,74.3,53,56,9999,8,10,7,8.7,360,9999,9999,,-05:00,205.5,S001910080E
POINT (-92.7257 41.6975),70,1,W,None,None,22,T80N,33,R16W,512022,Grinnell,RGRI4,41.6975,-92.7257,922,POWESHIEK,IA 146,19,Grinnell,79,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551803,1,76,9999,56,9999,6,6,5.2,5.2,260,0,0,,-05:00,18.6,S001930146N
POINT (-95.1476 42.4726),71,1,E,NA,NA,73,,,,512073,Early,ERY14,42.4726,-95.1476,1399,Sac,US 20 W,71.4,Storm Lake,81,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553805,3,76.6,68,64,9999,4,4,3.5,3.5,90,0,0,,-05:00,235.537,S001920020W
POINT (-92.0087 41.687667),24,1,N,None,None,48,T80N,33,R10W,512048,Williamsburg,RWBI4,41.687667,-92.0087,854,IOWA,IA 149,66,Williamsburg,48,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556606,6,74.8,48,54.3,0.03,8,11,7,9.6,10,0,0,,-05:00,0.1,S001930149S
POINT (-95.3439 41.9157),32,1,NE,None,None,60,T82N,13,R39W,512060,Denison,RDNI4,41.9157,-95.3439,1400,CRAWFORD,US 59,95,Denison,24,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553612,3,67.1,59,52.3,9999,6,6,5.2,5.2,60,0,0,,-05:00,94.5,S001920059N
POINT (-93.7757 41.7396),67,1,NW,None,None,71,T80N,17,R25W,512071,Grimes,RGAI4,41.7396,-93.7757,863,POLK,IA 141,148,Grimes,77,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551808,1,75.2,57,59,9999,3,6,2.6,5.2,330,0,0,,-05:00,6.4,S001930141W
POINT (-93.1228 43.1115),72,1,W,None,None,74,,,,512074,Mason City US18,,43.1115,-93.1228,,CERRO GORDO,US 18,190,Mason City,17,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552617,2,72.3,64,56,9999,2,2,1.7,1.7,270,9999,0,,-05:00,190.44332778,S001920018E
POINT (-92.470606 43.370716),55,1,N,Light,NA,69,T99N,26,R14W,512069,Saratoga,SRGI4,43.370716,-92.470606,1357,HOWARD,IA 9,222,Decorah,45,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552896,2,67.6,67,58,9999,2,4,1.7,3.5,20,9999,9999,,-05:00,221.4,S001930009E
POINT (-95.7834 40.6895),61,1,NE,None,None,39,T68N,21,R43W,512039,Sidney,RSDI4,40.6895,-95.7834,943,FREMONT,I-29,10,Sidney,36,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554808,4,77.7,55,61,9999,2,5,1.7,4.3,30,0,0,,-05:00,141.8,S001910029S
POINT (-93.7943 41.0267),13,1,N,None,None,35,T72N,24,R26W,512035,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,115,Osceola,20,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555620,5,75.4,59,60.4,0.04,1,4,0.9,3.5,0,0,0,,-05:00,114.1,S001920034E
POINT (-91.0992 40.813),48,1,N,None,None,7,T70N,33,R02W,512007,Burlington,RBUI4,40.813,-91.0992,715,DES MOINES,US 34,263,Burlington,29,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555829,5,79.7,61,65.5,9999,3,10,2.6,8.7,0,0,0,,-05:00,0.2,S001920034W
POINT (-92.4212 41.016833),14,1,NW,None,None,36,T72N,24,R14W,512036,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,IA 149,0,Ottumwa,90,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555690,5,77.7,51,58.1,9999,5,7,4.3,6.1,320,0,0,,-05:00,0.2,S001930149N
POINT (-92.309 42.455667),38,1,NE,None,None,46,T88N,12,R13W,512046,Waterloo,RWLI4,42.455667,-92.309,882,BLACK HAWK,I-380,71,Waterloo,7,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552807,2,75.7,49,55.2,9999,3,8,2.6,7,60,0,0,,-05:00,71.3,S001910380N
POINT (-91.6838 41.93),51,1,E,None,None,10,T82N,8,R07W,512010,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252,Cedar Rapids,57,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556608,6,78.3,47,57,9999,7,11,6.1,9.6,90,0,0,,-05:00,249.3,S001920030E
POINT (-95.2915 41.498167),65,1,NE,None,None,6,T77N,2,R39W,512006,Avoca,RAVI4,41.498167,-95.2915,1238,POTTAWATTAMIE,I-80,43,Avoca,78,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554802,4,73.9,63,60.6,1.75,2,6,1.7,5.2,40,0,0,,-05:00,42.4,S001910080E
POINT (-93.3418 43.038),1,1,NW,None,None,30,T95N,20,R21W,512030,Mason City,RMCI4,43.038,-93.3418,1235,CERRO GORDO,I-35,187,Mason City,17,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552617,2,72.3,65,60.1,1.1,0,0,0,0,320,0,0,,-05:00,186.5,S001910035N
POINT (-95.4783 42.3515),25,1,N,None,None,51,T87N,15,R40W,512051,Ida Grove,RIGI4,42.3515,-95.4783,1215,IDA,US 59,129,Ida Grove,47,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553608,3,71.1,81,64.9,9999,0,0,0,0,360,0,0,,-05:00,127.9,S001920059N
POINT (-95.0888 43.126833),42,1,E,None,None,42,T96N,22,R36W,512042,Spencer,RSPI4,43.126833,-95.0888,1484,CLAY,US 18,85,Spencer,21,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553812,3,71.4,75,63.3,1.24,3,6,2.6,5.2,80,0,0,,-05:00,84.6,S001920018E
POINT (-93.5315 42.5875),58,1,SW,NA,NA,47,T90N,23,R23W,512047,Williams,RWII4,42.5875,-93.5315,1067,HAMILTON,I-35,153,Williams,4,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551609,2,69.1,76,58,9999,3,3,2.6,2.6,220,0,0,,-05:00,65.8,S001910035S
POINT (-91.1272 41.6448),23,1,NE,None,None,44,T79N,18,R02W,512044,Tipton,RTPI4,41.6448,-91.1272,664,CEDAR,I-80,266,Tipton,16,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556802,6,75,57,58.5,5.44,2,8,1.7,7,40,0,0,,-05:00,265.8,S001910080E
POINT (-91.5812 41.6891),64,1,N,None,None,24,T80N,31,R06W,512024,Iowa City I-80,RIOI4,41.6891,-91.5812,819,JOHNSON,I-80,242,Coralville,52,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556607,6,77,50,57,9999,9,9999,7.8,9999,360,0,0,,-05:00,64.7,S001910080W
POINT (-91.335695 42.071186),26,1,N,None,None,52,T84N,24,R05W,512052,Anamosa,RCRI4,42.071186,-91.335695,939,JONES,US 151,49,Anamosa,53,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556810,6,73.9,50,54.1,1.24,6,9,5.2,7.8,0,0,0,,-05:00,53.4,S001920151S
POINT (-93.5697 41.7608),47,1,N,None,None,5,T80N,6,R23W,512005,Ankeny,RAKI4,41.7608,-93.5697,865,POLK,I-35,95,Des Moines North,77,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551807,1,73.6,63,60.4,9999,9,10,7.8,8.7,350,0,0,,-05:00,123.9,S001910035S
POINT (-94.7263 41.496333),44,1,E,None,None,0,T77N,2,R34W,512000,Adair,RDAI4,41.496333,-94.7263,1476,CASS,I-80,72,Adair,15,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,554602,4,72.9,67,61.3,9999,2,3,1.7,2.6,80,0,0,,-05:00,71.8,S001910080E
POINT (-93.7741 41.5239),21,1,N,None,None,16,T78N,30,R25W,512016,Des Moines I-35,RDSI4,41.5239,-93.7741,735,POLK,IA 5,103,Grimes,77,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,551808,1,77,39,57,9999,5,8,4.3,7,340,0,0,,-05:00,0.5,S001930005S
POINT (-94.8975 42.0785),49,1,NE,None,None,8,T84N,14,R35W,512008,Carroll,RCAI4,42.0785,-94.8975,1275,CARROLL,US 30,80,Carroll,14,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553613,3,75.4,62,61.9,2.71,1,2,0.9,1.7,60,0,0,,-05:00,80.2,S001920030E
POINT (-95.7149 43.4335),28,1,N,None,None,54,T100,32,R41W,512054,Sibley,RSYI4,43.4335,-95.7149,1574,OSCEOLA,IA 9,43,Ashton,72,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,553810,3,71.8,72,62.2,9999,5,9999,4.3,9999,20,0,0,,-05:00,43.2,S001930009E
POINT (-90.6835 42.0685),8,1,W,None,None,28,T84N,24,R02E,512028,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,159,Maquoketa,49,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556808,6,73.8,47,52.3,9999,4,6,3.5,5.2,270,0,0,,-05:00,32.7,S001920061S
POINT (-92.3145 41.336333),16,1,NW,None,None,40,T76N,36,R13W,512040,Sigourney,RSGI4,41.336333,-92.3145,664,KEOKUK,IA 92,199,Sigourney,54,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,555854,5,73,59,58,9999,6,7,5.2,6.1,330,0,9999,,-05:00,197.4,S001930092E
POINT (-91.4473 42.471),66,1,N,None,None,27,T89N,33,R05W,512027,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,277,Manchester,28,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,556605,6,72,51,53.1,9999,2,4,1.7,3.5,0,0,0,,-05:00,43.2,S001920020W
POINT (-94.3985 43.083),41,1,N,None,None,1,T95N,4,R30W,512001,Algona,RALI4,43.083,-94.3985,1106,KOSSUTH,US 18,122,Algona,55,08/30/2023 01:10:00 AM +0000,08/30/2023 01:21:06 AM +0000,552655,2,71.4,80,64.9,9999,2,2,1.7,1.7,0,0,0,,-05:00,121.9,S001920018E
